"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"dQ14S","|","t1","",-0.857887675260255,0.0802160488157088,-10.6947136879204,0,-1.01510824192115,-0.700667108599359,-0.857887675260255,-0.787314016699908,-0.787314016699908
"dQ14S","|","t2","",0.064069991047656,0.0742316935564488,0.863108302910192,0.388077923311277,-0.0814214548343977,0.20956143692971,0.064069991047656,0.0587993084133706,0.0587993084133706
"dQ14S","|","t3","",0.746346586861083,0.0775117859771662,9.62881421776227,0,0.594426277968461,0.898266895753706,0.746346586861083,0.684948794693438,0.684948794693438
"dQ18S","|","t1","",-0.644753212309885,0.08648029633254,-7.45549263419075,8.94839757847876e-14,-0.814251478494015,-0.475254946125756,-0.644753212309885,-0.527093343161655,-0.527093343161655
"dQ18S","|","t2","",0.140305619891132,0.0841586209084865,1.66715683285375,0.0954832237134808,-0.0246422460780615,0.305253485860325,0.140305619891132,0.1147014963878,0.1147014963878
"dQ18S","|","t3","",0.737475283994293,0.087599858405243,8.418681233281,0,0.565782716469208,0.909167851519377,0.737475283994293,0.60289472858464,0.60289472858464
"rQ1","|","t1","",-1.68154022776421,0.102871613716596,-16.3460080678498,0,-1.88316488568026,-1.47991556984817,-1.68154022776421,-1.5436820847221,-1.5436820847221
"rQ1","|","t2","",-0.852722103035091,0.0792134953513509,-10.7648589328479,0,-1.00797770101327,-0.697466505056913,-0.852722103035091,-0.782813168527064,-0.782813168527064
"rQ1","|","t3","",-0.0387524137177646,0.0728996012062262,-0.531586086570456,0.59501270330056,-0.181633006569301,0.104128179133771,-0.0387524137177646,-0.0355753646615943,-0.0355753646615943
"rQ1","|","t4","",1.07175024223555,0.0816088864519487,13.1327639529379,0,0.911799763971314,1.23170072049979,1.07175024223555,0.983884667710478,0.983884667710478
"rQ3","|","t1","",-1.59494285856191,0.11044820832378,-14.4406403939693,0,-1.81141736903349,-1.37846834809032,-1.59494285856191,-1.3092143259853,-1.3092143259853
"rQ3","|","t2","",-0.532799325393434,0.0865868407123249,-6.15335218389132,7.58620721796888e-10,-0.702506414724697,-0.363092236062171,-0.532799325393434,-0.437350157051605,-0.437350157051605
"rQ3","|","t3","",0.0435891139266588,0.0826123353245785,0.527634447754079,0.597753079047064,-0.118328087988261,0.205506315841579,0.0435891139266588,0.0357802739473954,0.0357802739473954
"rQ3","|","t4","",1.42237061108679,0.0992851764632288,14.3261125351737,0,1.22777524102016,1.61696598115343,1.42237061108679,1.16755780365345,1.16755780365345
"rQ5","|","t1","",-1.914920517195,0.122980763952686,-15.570894631389,0,-2.15595838533349,-1.67388264905652,-1.914920517195,-1.81048828483981,-1.81048828483981
"rQ5","|","t2","",-0.679297686567888,0.076358548551161,-8.89615765958086,0,-0.828957691639917,-0.52963768149586,-0.679297686567888,-0.642251462870876,-0.642251462870876
"rQ5","|","t3","",-0.0140887612931365,0.0724796306955574,-0.194382354848286,0.845876505206818,-0.156146227069193,0.12796870448292,-0.0140887612931365,-0.0133204156726525,-0.0133204156726525
"rQ5","|","t4","",1.13046559242778,0.0836362231560756,13.5164591341982,0,0.966541607238913,1.29438957761664,1.13046559242778,1.06881444588781,1.06881444588781
"rQ2_r","|","t1","",-1.41401526939436,0.105608811838565,-13.3891788457563,0,-1.62100473704802,-1.20702580174071,-1.41401526939436,-1.16547658330301,-1.16547658330301
"rQ2_r","|","t2","",0.0615091393210543,0.081164998512007,0.757828379827482,0.44855373032557,-0.0975713345677266,0.220589613209835,0.0615091393210543,0.0506977987363006,0.0506977987363006
"rQ2_r","|","t3","",0.730575189320464,0.0857117241731404,8.52363193446767,0,0.562583296888278,0.898567081752651,0.730575189320464,0.602163423496734,0.602163423496734
"rQ2_r","|","t4","",1.6624331453416,0.113561527729091,14.6390523145079,0,1.43985664096324,1.88500964971997,1.6624331453416,1.3702305372079,1.3702305372079
"rQ4_r","|","t1","",-1.42294563878625,0.112475867535727,-12.6511194797787,0,-1.64339428828617,-1.20249698928633,-1.42294563878625,-1.11130731582724,-1.11130731582724
