"lhs","op","rhs","group","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"dQ14S","|","t1",1,".p91.",-0.934732014206944,0.083228226451752,-11.2309495715233,0,-1.09785634054952,-0.771607687864367
"dQ14S","|","t2",1,".p92.",0.0740342360303694,0.0625184260487333,1.18419865485192,0.236334434497768,-0.0484996273952785,0.196568099456017
"dQ14S","|","t3",1,".p93.",0.771261672006844,0.0764029871057248,10.0946533797113,0,0.621514568968346,0.921008775045343
"dQ18S","|","t1",1,".p94.",-0.583641630785669,0.0679682231740082,-8.58697790718266,0,-0.716856900299906,-0.450426361271432
"dQ18S","|","t2",1,".p95.",0.0379245013323124,0.0591782751797693,0.640851752051017,0.52161900545402,-0.078062786687236,0.153911789351861
"dQ18S","|","t3",1,".p96.",0.538620845755979,0.0701993679673684,7.67273070045805,1.68753899743024e-14,0.401032612802462,0.676209078709496
"rQ1","|","t1",1,".p97.",-1.3989560224067,0.105482746517341,-13.2624155949211,0,-1.60569840657106,-1.19221363824234
"rQ1","|","t2",1,".p98.",-0.640991232904597,0.0669673851879572,-9.57169271437922,0,-0.772244896011814,-0.50973756979738
"rQ1","|","t3",1,".p99.",0.0698822469334293,0.0550281099034957,1.26993725672177,0.20410698067756,-0.0379708666147342,0.177735360481593
"rQ1","|","t4",1,".p100.",1.08291586334614,0.0917998234540815,11.7964917861506,0,0.90299151558901,1.26284021110328
"rQ3","|","t1",1,".p101.",-1.25990002974128,0.0908952750460858,-13.8610068466429,0,-1.43805149519647,-1.08174856428609
"rQ3","|","t2",1,".p102.",-0.377012019495228,0.0620269490429882,-6.07819706292401,1.21541332553932e-09,-0.498582605690386,-0.25544143330007
"rQ3","|","t3",1,".p103.",0.0978211277398163,0.0591709436279685,1.65319533105399,0.0982911164026403,-0.0181517907022517,0.213794046181884
"rQ3","|","t4",1,".p104.",1.20896942198053,0.0882065876010476,13.7061126029341,0,1.0360876870833,1.38185115687776
"rQ5","|","t1",1,".p105.",-1.64550721635403,0.129671984337425,-12.6897666042665,0,-1.89965963545923,-1.39135479724884
"rQ5","|","t2",1,".p106.",-0.534754783066734,0.0609782747317873,-8.76959516186462,0,-0.654270005380426,-0.415239560753042
"rQ5","|","t3",1,".p107.",0.0584563533728038,0.0505314840275163,1.15683033059097,0.247341687330819,-0.0405835354064892,0.157496242152097
"rQ5","|","t4",1,".p108.",1.08377303621015,0.0866088917208423,12.5134153627478,0,0.91402272769637,1.25352334472393
"rQ2_r","|","t1",1,".p109.",-1.07508612950724,0.0973230546659702,-11.0465719884885,0,-1.26583581151796,-0.884336447496515
"rQ2_r","|","t2",1,".p110.",0.117878091625176,0.0574757830029355,2.05091754242228,0.0402749774856623,0.00522762695618351,0.230528556294169
"rQ2_r","|","t3",1,".p111.",0.650967428939906,0.0675844075348542,9.63191737094378,0,0.518504424255114,0.783430433624698
"rQ2_r","|","t4",1,".p112.",1.41006281055188,0.101229788314411,13.9293268713784,0,1.21165607129302,1.60846954981074
"rQ4_r","|","t1",1,".p113.",-1.04507215588457,0.0893515004949121,-11.6961903280414,0,-1.22019787881921,-0.869946432949932
"rQ4_r","|","t2",1,".p114.",-0.0549510921003843,0.0607474147396055,-0.904583221128551,0.365686227645957,-0.174013837143929,0.06411165294316
"rQ4_r","|","t3",1,".p115.",0.404102615112435,0.0633528648400662,6.37860049632465,1.78713488452331e-10,0.279933281708471,0.528271948516399
"rQ4_r","|","t4",1,".p116.",1.40329066625178,0.101269959762854,13.8569292368428,0,1.20480519240076,1.60177614010279
"rQ6_r","|","t1",1,".p117.",-1.17685520563309,0.0966408863638751,-12.177611877461,0,-1.36626786234031,-0.987442548925863
