"lhs","op","rhs","block","group","level","mi","epc","sepc.lv","sepc.all","sepc.nox"
"dQ17D","~~","dQ11S",2,2,1,0.2062786241174,0.0463637042267451,0.0463637042267451,0.0526469088847651,0.0526469088847651
"dQ1S","~~","dQ6S",2,2,1,0.205642657044571,-0.0456885000831193,-0.0456885000831193,-0.0348628835491757,-0.0348628835491757
"dQ10D","~~","dQ14S",1,1,1,0.20236979856218,0.0418909991949311,0.0418909991949311,0.0418909991949311,0.0418909991949311
"dQ21D","~~","dQ4A",2,2,1,0.200632309940129,-0.0498061197474795,-0.0498061197474795,-0.0516921862559478,-0.0516921862559478
"dQ5D","~~","dQ19A",1,1,1,0.198990230518406,-0.0350796343177795,-0.0350796343177795,-0.0350796343177795,-0.0350796343177795
"dQ13D","~~","dQ8S",1,1,1,0.197534746671593,-0.0422148563976074,-0.0422148563976074,-0.0422148563976074,-0.0422148563976074
"Dep","=~","dQ15A",2,2,1,0.191356435212186,-0.041446105106202,-0.0472067542667777,-0.0311797205077683,-0.0311797205077683
"dQ1S","~~","dQ11S",1,1,1,0.189852475921917,-0.0355722023691181,-0.0355722023691181,-0.0355722023691181,-0.0355722023691181
"dQ20A","~~","dQ1S",1,1,1,0.188042626824314,-0.0371131994175241,-0.0371131994175241,-0.0371131994175241,-0.0371131994175241
"dQ4A","~~","dQ12S",2,2,1,0.185245768476946,-0.0593313600621385,-0.0593313600621385,-0.0361366321154569,-0.0361366321154569
"dQ9A","~~","dQ20A",1,1,1,0.17831924592174,0.0419481472847471,0.0419481472847471,0.0419481472847471,0.0419481472847471
"dQ4A","~~","dQ18S",1,1,1,0.173344288092551,0.0385236739349173,0.0385236739349173,0.0385236739349173,0.0385236739349173
"dQ1S","~~","dQ18S",1,1,1,0.173288434423325,0.0315102192927745,0.0315102192927745,0.0315102192927745,0.0315102192927745
"dQ5D","~~","dQ13D",1,1,1,0.172730360697446,0.0395927351811988,0.0395927351811988,0.0395927351811988,0.0395927351811988
"dQ9A","~~","dQ18S",2,2,1,0.172672980493722,0.0493940857943102,0.0493940857943102,0.0404608341346333,0.0404608341346333
"dQ2A","~~","dQ20A",1,1,1,0.168767287020943,0.0376679501375829,0.0376679501375829,0.0376679501375829,0.0376679501375829
"Str","=~","dQ20A",2,2,1,0.16794654584486,-0.0399924012449765,-0.0436902375051803,-0.0334356835904326,-0.0334356835904326
"dQ16D","~~","dQ20A",2,2,1,0.16646770213863,-0.0523756312242398,-0.0523756312242398,-0.0380431494420806,-0.0380431494420806
"dQ10D","~~","dQ16D",1,1,1,0.165625200819303,-0.0413710907944137,-0.0413710907944137,-0.0413710907944137,-0.0413710907944137
"dQ16D","~~","dQ12S",2,2,1,0.164383100139093,-0.0587190733823581,-0.0587190733823581,-0.0347689816569612,-0.0347689816569612
"dQ9A","~~","dQ12S",2,2,1,0.163294062493455,0.0482203741609508,0.0482203741609508,0.0380102366334646,0.0380102366334646
"Anx","=~","dQ18S",2,2,1,0.162653343405124,0.0401360530781234,0.0432058372680148,0.030718398833941,0.030718398833941
"dQ15A","~~","dQ20A",2,2,1,0.160358789886232,0.0465440800334202,0.0465440800334202,0.0426870823783704,0.0426870823783704
"dQ4A","~~","dQ1S",2,2,1,0.158728847877313,-0.0453279779140514,-0.0453279779140514,-0.0303347978359389,-0.0303347978359389
"Str","=~","dQ21D",2,2,1,0.158385316559104,0.0378934154798451,0.0413971722291836,0.0367966148005277,0.0367966148005277
"dQ16D","~~","dQ14S",2,2,1,0.156971945498472,-0.0548530783743808,-0.0548530783743808,-0.031882984844674,-0.031882984844674
"dQ19A","~~","dQ12S",2,2,1,0.154758946213813,-0.0482457119264926,-0.0482457119264926,-0.0319359361264632,-0.0319359361264632
"dQ6S","~~","dQ12S",2,2,1,0.149000836504621,0.0466042842186079,0.0466042842186079,0.0323646457578378,0.0323646457578378
"dQ7A","~~","dQ11S",1,1,1,0.147963525110291,0.0381683676481504,0.0381683676481504,0.0381683676481504,0.0381683676481504
"dQ5D","~~","dQ14S",2,2,1,0.145946328704783,-0.0462186397789127,-0.0462186397789127,-0.0271063147931893,-0.0271063147931893
"dQ3D","~~","dQ17D",2,2,1,0.143802327021222,-0.0381276713134577,-0.0381276713134577,-0.0389424380395971,-0.0389424380395971
"dQ5D","~~","dQ2A",2,2,1,0.143341655390956,-0.0764985518957369,-0.0764985518957369,-0.0286338744273913,-0.0286338744273913
"dQ6S","~~","dQ8S",1,1,1,0.141711575083759,0.0346071654791584,0.0346071654791584,0.0346071654791584,0.0346071654791584
"dQ2A","~~","dQ6S",2,2,1,0.140854413262893,0.0689445685538946,0.0689445685538946,0.0299960347646845,0.0299960347646845
"dQ7A","~~","dQ19A",1,1,1,0.133326159968403,-0.0315829137032205,-0.0315829137032205,-0.0315829137032205,-0.0315829137032205
"dQ8S","~*~","dQ8S",2,2,1,0.132769736492639,0.0355340562438839,0.0355340562438839,1,1
"dQ8S","~*~","dQ8S",1,1,1,0.132737099522051,-0.0374664340290272,-0.0374664340290272,-1,-1
"dQ9A","~~","dQ1S",1,1,1,0.131809256165977,-0.0296531293268697,-0.0296531293268697,-0.0296531293268697,-0.0296531293268697
