"id","gender","academic_year","residence","Dep","Anx","Str","BRS"
626,"Male","2nd Yr","Suburb/Semi-Urban",-1.00764370648771,-1.32823956142419,-1.19344974181336,0.429849068115134
627,"Male","2nd Yr","Rural",-1.50297390874982,-2.66866101203499,-2.03082757025069,0.371439251395312
628,"Female","2nd Yr","Rural",-0.641027014821037,0.243109869614432,0.627450951829226,-0.689179338069128
630,"Male","2nd Yr","Suburb/Semi-Urban",-2.71104705187509,-3.39377164801158,-3.21927139994064,1.26987148526062
631,"Female","2nd Yr","Suburb/Semi-Urban",-0.662698029667953,-0.463156482181541,-0.684411492375458,-0.218193638407997
632,"Male","2nd Yr","Urban",-3.27278319387707,-3.89505444094266,-3.45134881910977,1.30857255932855
634,"Female","2nd Yr","Rural",-1.00392985320669,-0.549679610353023,-0.256364871767543,0.477064211839368
635,"Female","2nd Yr","Suburb/Semi-Urban",0.157980949051168,-0.117620029927779,-0.03875145520448,-0.372872713223669
636,"Female","2nd Yr","Urban",-0.967144392797523,-0.459157131281398,-0.35451061919307,0.330467521214633
638,"Female","4th Yr","Urban",-0.909468657791511,-0.699913576855162,-0.288331113311016,1.00312297007294
639,"Female","4th Yr","Urban",-0.479291025953965,0.216959139051901,0.623571773322777,0.721100707773715
644,"Female","4th Yr","Rural",1.23339659000443,1.23260495016187,1.97115405160085,-0.563593059925098
645,"Female","4th Yr","Rural",0.350292558547934,-0.0488183272751346,0.660474180637721,-0.695086905259454
647,"Female","4th Yr","Urban",0.057795041368197,0.259575492535074,0.519548792630996,-0.81314594218338
648,"Female","4th Yr","Suburb/Semi-Urban",1.23591796911802,1.4600090750289,1.78580836068666,-1.48172465514961
649,"Female","4th Yr","Urban",0.448979654115243,0.292498546557163,0.848734405437616,-0.333325451727823
651,"Female","4th Yr","Urban",2.14496935735577,1.5525832520751,2.07364769339951,-0.332747684271594
652,"Female","4th Yr","Suburb/Semi-Urban",1.00909058418843,1.74680268898694,2.06236778738463,-1.02646262173375
653,"Female","4th Yr","Rural",1.23611962197702,1.37354846577396,2.00411274347697,-0.626410600429022
656,"Female","4th Yr","Urban",0.703300192248583,1.19103654770665,1.50819969960166,-0.923077111138421
657,"Male","1st Yr","Rural",0.746977018982992,0.823970586744808,0.910760337690198,-0.602191194919389
664,"Female","1st Yr","Suburb/Semi-Urban",0.243562333822497,1.0999937960878,1.20835714858825,-0.430499172990411
665,"Male","1st Yr","Urban",-1.95024565542314,-2.05411701422598,-1.94686624604057,0.929051679949343
668,"Male","1st Yr","Rural",-2.38543048013994,-2.1257682718751,-1.81190412538116,0.805700998333537
670,"Male","1st Yr","Rural",-1.64710005659717,-1.27475300401003,-1.05471012984917,0.137982690803661
671,"Male","1st Yr","Rural",-1.78441319810682,-1.21184821127419,-1.09991400138472,1.34038694633406
672,"Male","1st Yr","Suburb/Semi-Urban",-0.694233668362825,-0.616375144588147,-0.545917073871514,1.22418054892598
673,"Male","1st Yr","Rural",-2.60660143896941,-1.98373943776081,-1.89147856491955,0.948713495193578
676,"Female","1st Yr","Urban",-1.86599378436173,-0.943199589465542,-0.975130797343437,1.30320146263924
678,"Female","1st Yr","Rural",-0.854675662891067,0.818841642545141,0.641451518279638,1.2508672222174
679,"Female","1st Yr","Urban",-0.737669307580644,1.1927950545583,0.959791727586804,0.661400817741072
680,"Female","1st Yr","Rural",-2.14319167331182,-1.0754785678663,-1.01857387034884,2.64088525930611
681,"Female","1st Yr","Urban",-0.600101506705006,1.18720207620256,0.709375793420083,-0.225763740688299
682,"Female","1st Yr","Urban",-0.902349703530126,1.01811411785351,0.548119098573193,-0.412293790093678
684,"Male","2nd Yr","Suburb/Semi-Urban",-0.227761024761973,-2.2920896646367,-1.72837648435497,0.509317761787632
685,"Female","2nd Yr","Urban",0.745747403360922,-0.764686997883111,-0.278091208319838,-0.140150996945352
686,"Female","2nd Yr","Rural",1.33413017104491,1.37907817371304,1.95756868117614,-0.357106848938687
687,"Female","2nd Yr","Suburb/Semi-Urban",1.5409376351156,0.891285066370489,1.39286678525941,-0.00243308370648444
688,"Male","2nd Yr","Rural",0.438357562788162,0.121461829110368,0.623545208817456,-0.741348624179381
690,"Male","2nd Yr","Urban",-0.938992752552869,-1.30205684466754,-0.95615127337512,-0.484613011527071
691,"Female","2nd Yr","Rural",-1.17942799887093,-1.3238099441048,-0.711482265372802,0.0405144784381037
692,"Female","2nd Yr","Urban",2.05648342303506,1.57438947490519,2.00879447866172,-0.567439541178671
693,"Female","3rd Yr","Suburb/Semi-Urban",0.808746821815552,0.567623906980851,0.961814756570452,-0.301409971947941
694,"Male","2nd Yr","Suburb/Semi-Urban",0.701622870265941,-0.262693602151471,0.410242194112032,0.0594927800369821
696,"Male","2nd Yr","Suburb/Semi-Urban",0.0439237685193388,-1.28001082226515,-0.765229547684439,-0.256236738119404
697,"Female","2nd Yr","Suburb/Semi-Urban",1.95307507209671,1.73891940703204,1.96401310324203,-0.303068831820192
698,"Male","2nd Yr","Suburb/Semi-Urban",-0.860790130682117,-2.52281957368522,-2.03371441550459,0.740538305549297
699,"Male","2nd Yr","Suburb/Semi-Urban",-1.32809944380877,-2.31221942962482,-1.94210559746041,-0.203401744114778
700,"Male","2nd Yr","Suburb/Semi-Urban",0.152564031600393,-0.485332460214614,-0.302959139299968,1.0314685835639
701,"Male","2nd Yr","Urban",-0.425738834473272,-1.8366373780396,-1.38686209689746,0.892309615439674
